"","params","mean","lo90","hi90","ess","rhat"
"eta[48]","eta[48]",0.829560304314612,-0.597638406679589,2.46264341064584,2141.28620635059,1.00341599244705
"eta[49]","eta[49]",1.11869360769807,-0.0832642104375798,2.3418103820137,2186.20939385805,1.00268866945065
"eta[50]","eta[50]",0.684797192866917,0.0527058522368616,1.33112391219517,6006.57832122106,1.00373493174278
"eta[51]","eta[51]",0.0734681115415729,-0.797137138123904,0.968180313240099,18560.8652598542,1.00069708119473
"eta[52]","eta[52]",-0.353139293280756,-1.39379836142483,0.561672417406417,11038.9941396996,1.00073777065465
"eta[53]","eta[53]",-0.314271312833297,-1.83732164296614,1.20746429671514,17025.5032348623,1.0006335515497
"eta[54]","eta[54]",0.505989811720122,-0.606944792556451,1.62829784937256,6206.92309156626,1.00239978557291
"eta[55]","eta[55]",0.326947990431275,-0.712567679281892,1.44261858868417,19284.7689807801,1.00132219290214
"eta[56]","eta[56]",-0.264156876070281,-1.24438624571285,0.65582985188782,12440.8533022921,1.00119403422389
"eta[57]","eta[57]",-0.469924584472153,-1.68932553696174,0.769910829777559,10970.1521659612,1.00074133602891
"eta[58]","eta[58]",-0.638248035292599,-1.90261175888369,0.508233415584993,7895.85134516921,1.00194894288324
"eta[59]","eta[59]",-0.819905924100861,-2.31730961826326,0.606427150916323,7596.27274938023,1.00137140014979
"eta[60]","eta[60]",-0.964313659426486,-2.50213736672222,0.578921464430995,6890.2486551775,1.00077076484507
"eta[61]","eta[61]",-0.884184452438457,-2.77889005715232,0.845632686205168,9892.47442958914,1.00089110638569
"kappa","kappa",1.99609830816875,1.83942627541727,2.16020681741057,19392.9326048586,1.00053666223728
"sigma1","sigma1",0.959873206228907,0.210640680671018,1.65839371610512,3059.96066405719,1.00735950217395
