"","params","mean","lo90","hi90","ess","rhat"
"s1[50]","s1[50]",0.00114210105734247,-0.00010454029382529,0.00243019771106968,12809.3434689804,1.00033372861368
"s1[51]","s1[51]",0.000547339480146145,-0.00097094712749861,0.00200253920303154,17366.4209166711,1.00048522946564
"s1[52]","s1[52]",-0.000348347582588077,-0.0021099672133708,0.00146346017899588,8079.00590416924,1.00013324458769
"s1[53]","s1[53]",-0.000395571899200571,-0.00301508698077781,0.00201229111148888,11335.9737423368,1.00013646865156
"s1[54]","s1[54]",0.00122941919817111,-0.000520116190732238,0.00296626944129168,17044.2461136772,1.00022751404274
"s1[55]","s1[55]",0.000969825202482127,-0.000751035865647588,0.00277248833000388,17661.8923376918,1.00051230417585
"s1[56]","s1[56]",-0.000354924188423755,-0.00222224744526765,0.00130791810482022,7913.44580628138,1.00025500793525
"s1[57]","s1[57]",-0.00067838437613062,-0.00287066059368264,0.00144787050231309,7945.56872396799,1.00021158908958
"s1[58]","s1[58]",-0.000947713599925067,-0.00313635939218983,0.00122042115918198,6002.57513912088,1.00034282467489
"s1[59]","s1[59]",-0.00146347299813603,-0.00415173112347415,0.00120751820622696,5843.52007670783,1.00023990029373
"s1[60]","s1[60]",-0.00175837760279877,-0.00468351326584596,0.001235839171223,5487.35850583291,1.00028712321654
"s1[61]","s1[61]",-0.00162509659380842,-0.00496196331208978,0.00142812756476519,6767.05043647851,1.00042804710476
"s2[1]","s2[1]",0.0023579211751114,-0.000316930110947508,0.00490747033661833,9601.3068527295,1.00094579339883
"s2[2]","s2[2]",0.0017001945015142,-0.00115132477317931,0.00477417611987432,11236.4123534145,1.00049470952339
"s2[3]","s2[3]",0.0014133950111977,-0.000705192182761966,0.00365416851649284,11838.7322281754,1.00039844831551
"s2[4]","s2[4]",0.00155629972182469,-0.00273436998859251,0.00584759319701406,13557.1815331058,1.00087344434664
"s2[5]","s2[5]",0.000580680157439465,-0.00140273971484,0.00264617220318034,11899.2853953845,1.00022934588439
